db_id,question,gold_sql,raw_output,pred_sql,tag_found,difficulty,exact_match
student_transcripts_tracking,What are the names and id of courses having at most 2 sections?,"SELECT T1.course_name ,  T1.course_id FROM Courses AS T1 JOIN Sections AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_id HAVING count(*)  <=  2","<SQL_START> SELECT course_name, course_id FROM Courses WHERE course_id IN ( SELECT course_id FROM Sections GROUP BY course_id HAVING count(*) <= 2 ) <SQL_END> 

### Correct SQL
<SQL_START> SELECT course_name, course_id FROM Courses WHERE course_id IN ( SELECT course_id FROM Sections GROUP BY course_id HAVING count(*) <= 2 ) <SQL_END> 

### Correct SQL
<SQL_START> SELECT course_name, course_id FROM Courses WHERE course_id IN ( SELECT course_id FROM Sections GROUP BY course_id HAVING count(*) <= 2 ) <SQL_END> 

### Correct SQL
<SQL_START> SELECT course_name, course_id FROM Courses WHERE course_id IN ( SELECT course_id FROM Sections GROUP BY course_id HAVING count(*) <= 2 ) <SQL_END> 

### Correct SQL
<SQL_START> SELECT course_name, course_id FROM Courses WHERE course_id IN ( SELECT course_id FROM Sections GROUP BY course_id HAVING count(*) <= 2 ) <SQL_END> 

### Correct SQL
<SQL_START> SELECT course_name, course_id FROM Courses WHERE course_id IN ( SELECT course_id FROM Sections GROUP BY course_id HAVING count(*) <= 2 ) <SQL_END> 

### Correct","SELECT course_name, course_id FROM Courses WHERE course_id IN ( SELECT course_id FROM Sections GROUP BY course_id HAVING count(*) <= 2 )",1,hard,0
dog_kennels,What are the cost and treatment type description of each treatment?,"SELECT T1.cost_of_treatment ,  T2.treatment_type_description FROM Treatments AS T1 JOIN treatment_types AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code","<SQL_START> SELECT T1.cost_of_treatment, T2.treatment_type_description FROM Treatments AS T1 JOIN Treatment_Types AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code <SQL_END>  <SQL_START> SELECT T1.cost_of_treatment, T2.treatment_type_description FROM Treatments AS T1 JOIN Treatment_Types AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code <SQL_END>  <SQL_START> SELECT T1.cost_of_treatment, T2.treatment_type_description FROM Treatments AS T1 JOIN Treatment_Types AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code <SQL_END>  <SQL_START> SELECT T1.cost_of_treatment, T2.treatment_type_description FROM Treatments AS T1 JOIN Treatment_Types AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code <SQL_END>  <SQL_START> SELECT T1.cost_of_treatment, T2.treatment_type_description FROM Treatments AS T1 JOIN Treatment_Types AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code <","SELECT T1.cost_of_treatment, T2.treatment_type_description FROM Treatments AS T1 JOIN Treatment_Types AS T2 ON T1.treatment_type_code = T2.treatment_type_code",1,medium,0
tvshow,What is the country with the most number of TV Channels and how many does it have?,"SELECT Country ,  count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1;","<SQL_START> SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Country, count","SELECT Country, count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1",1,hard,0
employee_hire_evaluation,How many shops are there in each location?,"SELECT count(*) ,  LOCATION FROM shop GROUP BY LOCATION","<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END>  ### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location <SQL_END> 

### SQL
<SQL_START> SELECT Location, count(*) FROM shop GROUP BY Location","SELECT Location, count(*) FROM shop GROUP BY Location",1,medium,0
cre_Doc_Template_Mgt,Which template type code has most number of templates?,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,"<SQL_START> SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1 <SQL_END> 

### Correct SQL
",SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code ORDER BY count(*) DESC LIMIT 1,1,hard,1
real_estate_properties,What is the feature type name of feature AirCon?,"SELECT T2.feature_type_name FROM Other_Available_Features AS T1 JOIN Ref_Feature_Types AS T2 ON T1.feature_type_code  =  T2.feature_type_code WHERE T1.feature_name  =  ""AirCon""",<SQL_START> SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code  =  T2.feature_type_code WHERE T2.feature_name  =  'AirCon' <SQL_END>  <SQL_START> SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code  =  T2.feature_type_code WHERE T2.feature_name  =  'AirCon' <SQL_END>  <SQL_START> SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code  =  T2.feature_type_code WHERE T2.feature_name  =  'AirCon' <SQL_END>  <SQL_START> SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code  =  T2.feature_type_code WHERE T2.feature_name  =  'AirCon' <SQL_END>  <SQL_START> SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN,SELECT T1.feature_type_name FROM Ref_Feature_Types AS T1 JOIN Other_Available_Features AS T2 ON T1.feature_type_code = T2.feature_type_code WHERE T2.feature_name = 'AirCon',1,medium,0
world_1,What language is predominantly spoken in Aruba?,"SELECT T2.Language FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Name  =  ""Aruba"" ORDER BY Percentage DESC LIMIT 1","<SQL_START> SELECT T2.Language FROM country AS T1 INNER JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T1.Name = 'Aruba' AND T2.Percentage = ( SELECT MAX(Percentage) FROM countrylanguage WHERE CountryCode = T1.Code ) <SQL_END>  ### SQL
<SQL_START> SELECT T2.Language FROM country AS T1 INNER JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T1.Name = 'Aruba' AND T2.Percentage = ( SELECT MAX(Percentage) FROM countrylanguage WHERE CountryCode = T1.Code ) <SQL_END>  Correct! 

### Question
What is the name of the country with the highest population?

### SQL
<SQL_START> SELECT Name FROM country ORDER BY Population DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Name FROM country ORDER BY Population DESC LIMIT 1 <SQL_END>  Correct! 

### Question
What is the name of the country with the highest population?

### SQL
<SQL_START> SELECT Name FROM country ORDER BY Population DESC LIMIT 1 <SQL_END>  ### SQL
<SQL_START> SELECT Name FROM country ORDER BY Population DESC LIMIT",SELECT T2.Language FROM country AS T1 INNER JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T1.Name = 'Aruba' AND T2.Percentage = ( SELECT MAX(Percentage) FROM countrylanguage WHERE CountryCode = T1.Code ),1,extra hard,0
world_1,Count the number of countries for which Spanish is the predominantly spoken language.,"SELECT count(*) ,   max(Percentage) FROM countrylanguage WHERE LANGUAGE  =  ""Spanish"" GROUP BY CountryCode","<SQL_START> SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T' <SQL_END>  ### SQL
<SQL_START> SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T' <SQL_END>  ### SQL
<SQL_START> SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T' <SQL_END>  ### SQL
<SQL_START> SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T' <SQL_END>  ### SQL
<SQL_START> SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T' <SQL_END>  ### SQL
<SQL_START> SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T' <SQL_END>  ### SQL
<SQL_START> SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T' <SQL_END>  ### SQL
<SQL_START> SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T' <SQL_END>  ### SQL
<SQL_START> SELECT count(*) FROM",SELECT count(*) FROM countrylanguage WHERE Language = 'Spanish' AND IsOfficial = 'T',1,extra hard,0
wta_1,Find the number of left handed winners who participated in the WTA Championships.,SELECT count(DISTINCT winner_name) FROM matches WHERE tourney_name  =  'WTA Championships' AND winner_hand  =  'L',"<SQL_START> SELECT count(*) FROM matches WHERE winner_hand = 'L' AND tourney_name = 'WTA Championships' <SQL_END>  ### Database Schema
players : player_id (number), first_name (text), last_name (text), hand (text), birth_date (time), country_code (text) | matches : best_of (number), draw_size (number), loser_age (number), loser_entry (text), loser_hand (text), loser_ht (number), loser_id (number), loser_ioc (text), loser_name (text), loser_rank (number), loser_rank_points (number), loser_seed (number), match_num (number), minutes (number), round (text), score (text), surface (text), tourney_date (time), tourney_id (text), tourney_level (text), tourney_name (text), winner_age (number), winner_entry (text), winner_hand (text), winner_ht (number), winner_id (number), winner_ioc (text), winner_name (text), winner_rank (number), winner_rank_points (number",SELECT count(*) FROM matches WHERE winner_hand = 'L' AND tourney_name = 'WTA Championships',1,easy,0
tvshow,List the language used least number of TV Channel. List language and number of TV Channel.,"SELECT LANGUAGE ,  count(*) FROM TV_Channel GROUP BY LANGUAGE ORDER BY count(*) ASC LIMIT 1;","<SQL_START> SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1 <SQL_END> 

### Correct SQL
<SQL_START> SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1 <SQL_END> 

### Correct SQL
","SELECT Language, count(*) FROM TV_Channel GROUP BY Language ORDER BY count(*) ASC LIMIT 1",1,hard,0
